,text,playlist,entity_name,music_item,playlist_owner,artist
0,Add another song to the Cita RomÃ¡ntica playlist.,Cita RomÃ¡ntica,,song,,
1,add clem burke in my playlist Pre-Party R&B Jams,Pre-Party R&B Jams,,,my,clem burke
2,Add Live from Aragon Ballroom to Trapeo,Trapeo,Live from Aragon Ballroom,,,
3,add Unite and Win to my  night out,night out,Unite and Win,,my,
4,Add track to my  Digster Future Hits,Digster Future Hits,,track,my,
5,add the piano bar to my  Cindy Wilson,the piano bar,,,my,Cindy Wilson
6,Add Spanish Harlem Incident to cleaning the house,cleaning the house,Spanish Harlem Incident,,,
7,add The Greyest of Blue Skies in Indie EspaÃ±ol  my playlist,Indie EspaÃ±ol,The Greyest of Blue Skies,,my,
8,Add the name kids in the street to the plylist New Indie Mix,New Indie Mix,kids in the street,,,
9,add album  radar latino,radar latino,,album,,
10,Add Tranquility to the Latin Pop Rising playlist.,Latin Pop Rising,Tranquility,,,
11,Add d flame to the Dcode2016 playlist.,Dcode2016,,,,d flame
12,Add album to my  fairy tales,fairy tales,,album,my,
13,I need another artist in the New Indie Mix playlist.,New Indie Mix,,artist,,
14,Add to playlist i love my neo soul the name national treasure book of secrets,i love my neo soul,national treasure book of secrets,,,
15,Add the fire and the wind to my  Digster Future Hits playlist.,Digster Future Hits,the fire and the wind,,my,
16,add Caleigh Peters to my  women of country list,women of country,,,my,Caleigh Peters
17,add children of telepathic experiences to the playlist named baladas romÃ¡nticas,baladas romÃ¡nticas,children of telepathic experiences,,,
18,add 9th Inning to my  bossa nova dinner playlist,bossa nova dinner,9th Inning,,my,
19,I need another tune in my  legendary guitar solos playlist.,legendary guitar solos,,tune,my,
20,Add Slimm Cutta Calhoun to my  this is prince playlist.,this is prince,,,my,Slimm Cutta Calhoun
21,Add Always to dena's  Baroque 50 Spotify Picks playlist.,Baroque 50 Spotify Picks,Always,,dena's,
22,add song to Sleepytime,Sleepytime,,song,,
