,text,served_dish,facility,timeRange,spatial_relation,restaurant_type,party_size_number,sort,cuisine,city,country,party_size_description,poi,restaurant_name,state
0,book The Middle East  restaurant in IN for noon,,,noon,,restaurant,,,,,,,,The Middle East,IN
1,Book a table at T-Rex  distant from Halsey St .,,,,distant,,,,,,,,Halsey St,T-Rex,
2,I'd like to eat at a taverna that serves chili con carne for a party of 10 ,chili con carne,,,,taverna,10,,,,,,,,
3,I have a party of four in Japan and need a reservation at Rimsky-Korsakoffee House on Aug. the 3rd .,,,Aug. the 3rd,,,four,,,,Japan,,,Rimsky-Korsakoffee House,
4,"Please make a restaurant reservation for somewhere in Mondovi , Connecticut .",,,,,restaurant,,,,Mondovi,,,,,Connecticut
5,book a spot far from Ãland,,,,far,,,,,,Ãland,,,,
6,I'd like to eat at the best  restaurant in Coalton,,,,,restaurant,,best,,Coalton,,,,,
7,book a taverna that serves vichyssoise  within walking distance in OH,vichyssoise,,,within walking distance,taverna,,,,,,,,,OH
8,I want to book a popular  tyrolean  steakhouse in Madison Park  WA  in 1 hour nine minutes and one second,,,in 1 hour nine minutes and one second,,steakhouse,,popular,tyrolean,Madison Park,,,,,WA
9,Find a table for 8 somewhere in Bonaire  in 345 days,,,in 345 days,,,8,,,,Bonaire,,,,
10,Book a restaurant with parking facility for 3 .,,parking,,,restaurant,3,,,,,,,,
11,"please book a room in Spaghetti Warehouse for catalina, delores and brandie mendoza at 12 AM",,,12 AM,,,,,,,,"catalina, delores and brandie mendoza",,Spaghetti Warehouse,
12,"I need a table for 1 at a highly rated  restaurant  next autumn in Emmons , RI",,,next autumn,,restaurant,1,highly rated,,Emmons,,,,,RI
13,book a spot in 1 second that is neighboring  robin's hotel,,,in 1 second,neighboring,,,,,,,,robin's hotel,,
14,patty and I need a table booked at a highly rated  restaurant in Sandstone .,,,,,restaurant,,highly rated,,Sandstone,,patty and I,,,
15,Make a reservation for four at a pub in Sugarville .,,,,,pub,four,,,Sugarville,,,,,
16,book a table for a Macedonia  restaurant,,,,,restaurant,,,,,Macedonia,,,,
17,I'd like to go to a halal  restaurant  in twenty minutes  around the District Of Columbia and book seats for four,,,in twenty minutes,around,restaurant,four,,halal,,,,,,District Of Columbia
