,text,timeRange,spatial_relation,geographic_poi,city,country,condition_description,current_location,condition_temperature,state
0,What will the weather be this year in Horseshoe Lake State Fish and Wildlife Area ?,this year,,Horseshoe Lake State Fish and Wildlife Area,,,,,,
1,Will it be sunny  one hundred thirty five days from now in Monterey Bay National Marine Sanctuary,one hundred thirty five days from now,,Monterey Bay National Marine Sanctuary,,,sunny,,,
2,Is it supposed to rain  nearby my current location at 0 o'clock ?,0 o'clock,nearby,,,,rain,current location,,
3,"what is the forecast starting on september 1, 2039 for chillier conditions in AK","september 1, 2039",,,,,,,chillier,AK
4,how cold is it in Princeton Junction,,,,Princeton Junction,,,,cold,
5,"weather in Nationalpark Nevado Tres Cruces on mar. 4th, 2020","mar. 4th, 2020",,Nationalpark Nevado Tres Cruces,,,,,,
6,"What will be wind speed in Tiplersville , South Sudan ?",,,,Tiplersville,South Sudan,wind,,,
7,whats the weather in GA,,,,,,,,,GA
8,what is the weather at my current location,,,,,,,current location,,
9,Will it snow in Haigler  Bosnia and Herzegovina,,,,Haigler,Bosnia and Herzegovina,snow,,,
10,What is the weather in Ãland  4 seconds from now,4 seconds from now,,,,Ãland,,,,
11,Will it snowstorm  neighboring the Rio Grande Wild and Scenic River on feb. the second ?,feb. the second,neighboring,Rio Grande Wild and Scenic River,,,snowstorm,,,
12,what is the Sri Lanka forecast for snow,,,,,Sri Lanka,snow,,,
13,How is the weather going to be in Pearblossom .,,,,Pearblossom,,,,,
14,Can you tell me if it'll be freezing in Wrightstown  in seven years ?,in seven years,,,Wrightstown,,,,freezing,
15,Is the weather going to be colder in GU  in 11 years ,in 11 years,,,,,,,colder,GU
16,Will there be a snowstorm at my current place ?,,,,,,snowstorm,current place,,
17,Is it going to be warmer in Central Cebu Protected Landscape,,,Central Cebu Protected Landscape,,,,,warmer,
18,What will the weather be in Federated States Of Micronesia at 00:17 am,00:17 am,,,,,,,,Federated States Of Micronesia
19,Will it be chillier at 06:05:48 in Wagener  RÃ©union,06:05:48,,,Wagener,RÃ©union,,,chillier,
20,will it be colder in Cut  MA  tomorrow,tomorrow,,,Cut,,,,colder,MA
21,"Is it going to be sunny on Oct. twenty-seventh, 2031  within the same area of this current place","Oct. twenty-seventh, 2031",within the same area,,,,sunny,current place,,
22,Will it be chilly in Fiji at ten pm,ten pm,,,,Fiji,,,chilly,
23,"Will there be a blizzard  here on dec. 26, 2027 ?","dec. 26, 2027",,,,,blizzard,here,,
24,"On may the thirteenth, 2037 what will it be like in Wilderville , Montenegro","may the thirteenth, 2037",,,Wilderville,Montenegro,,,,
25,Will it get warmer  in the same area as Sandy Point National Wildlife Refuge,,in the same area,Sandy Point National Wildlife Refuge,,,,,warmer,
26,"What will the weather forecast be in Mount Victory , Delaware  in 1 second ?",in 1 second,,,Mount Victory,,,,,Delaware
27,Tell me if it'll be overcast  nearby  Papua New Guinea,,nearby,,,Papua New Guinea,overcast,,,
28,Is there rain in Nauru at 6 am,6 am,,,,Nauru,rain,,,
29,What is the weather like in Hebbronville  Venezuela,,,,Hebbronville,Venezuela,,,,
30,What's the weather next week in Somis,next week,,,Somis,,,,,
31,Tell me if it'll be humid in GA  one minute from now,one minute from now,,,,,humid,,,GA
32,Is it foggy in Shelter Island,,,,Shelter Island,,foggy,,,
33,I need to know the weather for San Martin,,,,San Martin,,,,,
34,"Check the forecast for Fernwood , MT .",,,,Fernwood,,,,,MT
35,What is the predicted weather for Wells in Indiana ?,,,,Wells,,,,,Indiana
36,What's the weather looking like right now in Croatia ?,now,,,,Croatia,,,,
37,what is the weather forecast for Kinbrae,,,,Kinbrae,,,,,
38,"Will it be snowy in Crouch , French Polynesia ?",,,,Crouch,French Polynesia,snowy,,,
39,Is it warm at seven AM in Greenland,seven AM,,,,Greenland,,,warm,
40,"Tell me the forecast for Elderton , Indiana  in 19 hours",in 19 hours,,,Elderton,,,,,Indiana
41,what is the weather of Sri Lanka,,,,,Sri Lanka,,,,
42,What's the weather forecast in the same area as LA  in 1 minute ?,in 1 minute,in the same area,,,,,,,LA
43,what is the chilly forecast for Mustoe  North Carolina,,,,Mustoe,,,,chilly,North Carolina
44,How is the weather in Birta ?,,,,Birta,,,,,
45,What will the weather be next apr . in MT ?,next apr,,,,,,,,MT
46,What is the temperate in Beltsville,,,,Beltsville,,,,,
47,What will the weather be like here  next week ?,next week,,,,,,here,,
48,What will the weather be in Nationalpark Rila on Nov. 25 ?,Nov. 25,,Nationalpark Rila,,,,,,
49,Will there be a blizzard in neighboring  Niobrara Valley Preserve,,neighboring,Niobrara Valley Preserve,,,blizzard,,,
50,Is it freezing  far from here on 12/5/2032,12/5/2032,far,,,,,here,freezing,
51,what do the cloud indicate in East Aurora,,,,East Aurora,,cloud,,,
52,What will the weather be this month in Wesley Hills ?,this month,,,Wesley Hills,,,,,
53,What's the weather in Timbo ?,,,,Timbo,,,,,
54,show weather forcast here at 19,19,,,,,,here,,
55,Weather for my nearby  current location,,nearby,,,,,current location,,
56,Is there a blizzard coming tomorrow in Methuen  Uganda,tomorrow,,,Methuen,Uganda,blizzard,,,
57,forecast for Laguna Heights  Barbados,,,,Laguna Heights,Barbados,,,,
58,what is the forecast starting on 5/17/2037 for Austria for warmer temps,5/17/2037,,,,Austria,,,warmer,
59,What will it be like feb. the twentieth in Colorado,feb. the twentieth,,,,,,,,Colorado
60,Is the forecast colder in Idaho  1 second from now,1 second from now,,,,,,,colder,Idaho
61,"What's the weather in GU on Jul. the 4th, 2024","Jul. the 4th, 2024",,,,,,,,GU
62,What is the temperate in Uintah right now,now,,,Uintah,,,,temperate,
63,Tell me the weather forecast 1 hour from now in Big Thicket National Preserve,1 hour from now,,Big Thicket National Preserve,,,,,,
64,"I need a forecast for Jetmore , Massachusetts in 1 hour and 1 second from now",1 hour and 1 second from now,,,Jetmore,,,,,Massachusetts
65,Will it be chillier in Portugal  in one hour ?,in one hour,,,,Portugal,,,chillier,
66,"What are the weather conditions going to be like in Manhasset , Vermont on Dec. the 6th, 2036 ?","Dec. the 6th, 2036",,,Manhasset,,,,,Vermont
67,What is the weather in CT,,,,,,,,,CT
68,Check the weather forecast for Sappho,,,,Sappho,,,,,
69,What will the weather be like on September the eighteenth in Puerto Rico,September the eighteenth,,,,Puerto Rico,,,,
70,Will it be overcast in my current location at twelve PM .,twelve PM,,,,,overcast,current location,,
71,show weather forecast in West Wildwood  South Carolina,,,,West Wildwood,,,,,South Carolina
72,What is the forecast in Heber ,,,,Heber,,,,,
73,What's the weather this month in Mozambique,this month,,,,Mozambique,,,,
74,What's the weather close to Cambodia at 05:44:13,05:44:13,close,,,Cambodia,,,,
75,Weather for East Peru  Bolivia  3 years and a half from now,3 years and a half from now,,,East Peru,Bolivia,,,,
76,what is the weather like now in AK,now,,,,,,,,AK
77,what is the forecast starting at 8 pm for Alaska,8 pm,,,,,,,,Alaska
78,What will the weather be in Peru ?,,,,,Peru,,,,
79,What will the weather be in the current place  1 minute from now ?,1 minute from now,,,,,,current place,,
80,Is it warmer in Lothian Island Wildlife Sanctuary,,,Lothian Island Wildlife Sanctuary,,,,,warmer,
81,will there be fog  Tonight at Beamer Memorial Conservation Area,Tonight,,Beamer Memorial Conservation Area,,,fog,,,
82,Tell me if it will be windy  here,,,,,,windy,here,,
83,what is the forecast for 15:04 in Georgia for overcast conditions in Valley View,15:04,,,Valley View,,overcast,,,Georgia
84,"Will there be cloud action in Saint Bernard , Virgin Islands",,,,Saint Bernard,,cloud,,,Virgin Islands
85,"What will the weather be like on feb. 8, 2034 in Cedar Mountain Wilderness","feb. 8, 2034",,Cedar Mountain Wilderness,,,,,,
86,Tell me the forecast in the same area  here on Robert E Lee's Birthday,Robert E Lee's Birthday,in the same area,,,,,here,,
87,Is there rain  now in Maine,now,,,,,rain,,,Maine
88,Will it get chillier in North Creek Forest ?,,,North Creek Forest,,,,,chillier,
89,"What's the weather forecast for Elida , Rhode Island ?",,,,Elida,,,,,Rhode Island
90,Will it be colder in Ohio,,,,,,,,colder,Ohio
91,Is it forecast to be windy  here  in seven seconds ?,in seven seconds,,,,,windy,here,,
92,"Will it be cold  close-by  Iowa on september twenty-first, 2025","september twenty-first, 2025",close-by,,,,,,cold,Iowa
93,What will the weather be a nine in Willow River State Park ?,nine,,Willow River State Park,,,,,,
94,What will the weather be here ?,,,,,,,here,,
95,in 257 days what will the weather be like in Cannon Ball,in 257 days,,,Cannon Ball,,,,,
96,"What will the weather be like 56 weeks from now , will there be sun in Tabor ?",56 weeks from now,,,Tabor,,sun,,,
97,What's the weather like in North Brunswick Township  Virginia,,,,North Brunswick Township,,,,,Virginia
98,Is the forecast windy in Nigeria on Nov. the 6th,Nov. the 6th,,,,Nigeria,windy,,,
99,"What's the wather in Coleville , Kenya",,,,Coleville,Kenya,,,,
100,Will it be freezing in the city of Sardis,,,,Sardis,,,,freezing,
101,What will the weather be like 1 minute from now  within the same area of my current location,1 minute from now,within the same area,,,,,current location,,
102,Will there be fog  not far from Mexico on Apr. 27,Apr. 27,not far,,,Mexico,fog,,,
103,what is the Bolsa Chica State Beach forecast for foggy conditions,,,Bolsa Chica State Beach,,,foggy,,,
104,What is the weather like right now  in the same area as Georgia,now,in the same area,,,,,,,Georgia
105,Will there be rainfall  four weeks from now in Tehama  Bahamas,four weeks from now,,,Tehama,Bahamas,rainfall,,,
106,Give me the weather forecast for here .,,,,,,,here,,
107,What's the weather in Niagara,,,,Niagara,,,,,
108,"When it comes to Dukes and the District Of Columbia , what will the weather be in one hour",in one hour,,,Dukes,,,,,District Of Columbia
109,Is it going to be colder in Louisiana,,,,,,,,colder,Louisiana
110,What's the forecast for Missouri around elevenses ?,elevenses,,,,,,,,Missouri
111,What will the weather be like in Arizona on october the 3rd,october the 3rd,,,,,,,,Arizona
112,Is it chilly in Ecola State Park at 2 pm,2 pm,,Ecola State Park,,,,,chilly,
113,Is the sun coming out today in Lacassine National Wildlife Refuge,today,,Lacassine National Wildlife Refuge,,,sun,,,
114,what is the Southern Shops forecast for warm temps,,,,Southern Shops,,,,warm,
115,what will the weather be within the same area of Weir Farm National Historic Site,,within the same area,Weir Farm National Historic Site,,,,,,
116,How chilly is it close to Hollidaysburg ?,,close,,Hollidaysburg,,,,chilly,
117,Is it humid in Charenton,,,,Charenton,,humid,,,
118,Give me Slovakia 's weather forecast for eight am,eight am,,,,Slovakia,,,,
119,Is it overcast in Ziwa Rhino Sanctuary ?,,,Ziwa Rhino Sanctuary,,,overcast,,,
120,what is the forecast now in Duson ,now,,,Duson,,,,,
121,What is the weather like in Great Bay National Wildlife Refuge ?,,,Great Bay National Wildlife Refuge,,,,,,
122,Is it cloudy in Choptank,,,,Choptank,,cloudy,,,
123,Is it getting colder in Leonard Harrison State Park,,,Leonard Harrison State Park,,,,,colder,
124,Will it be rainy at 8 in Dans Mountain State Park,8,,Dans Mountain State Park,,,rainy,,,
125,Is it going to get chillier in Kuwait,,,,,Kuwait,,,chillier,
126,What is the weather like within walking distance of the Nationalpark Drawa,,within walking distance,Nationalpark Drawa,,,,,,
