,text,genre,playlist,sort,track,music_item,service,year,album,artist
0,I need to hear the song  Aspro Mavro from Bill Szymczyk on Youtube,,,,Aspro Mavro,song,Youtube,,,Bill Szymczyk
1,play Yo Ho from the new york pops on Youtube,,,,Yo Ho,,Youtube,,,the new york pops
2,Play some seventies music by Janne Puurtinen on Youtube .,,,,,,Youtube,seventies,,Janne Puurtinen
3,play the MÃºsica Da SÃ©rie De Filmes O Hobbit  album by Alex Otaola,,,,,album,,,MÃºsica Da SÃ©rie De Filmes O Hobbit,Alex Otaola
4,Play Magic Sam from the thirties,,,,,,,thirties,,Magic Sam
5,Play The Soft Parade .,,,,The Soft Parade,,,,,
6,Play music by blowfly from the seventies,,,,,,,seventies,,blowfly
7,play Jeff Pilson on Youtube,,,,,,Youtube,,,Jeff Pilson
8,play a tune by Syreeta Wright from twenties from the top,,,top,,tune,,twenties,,Syreeta Wright
9,Please play me Jerry Lee Lewis 's If You Say So  track .,,,,If You Say So,track,,,,Jerry Lee Lewis
10,play the newest by Exuma,,,newest,,,,,,Exuma
11,Play the album  alas y raÃ­ces by Dave Pybus .,,,,,album,,,alas y raÃ­ces,Dave Pybus
12,play music by Helen Ward,,,,,,,,,Helen Ward
13,Play some sixties music.,,,,,,,sixties,,
14,Plan an album by Roni Duani .,,,,,album,,,,Roni Duani
15,I want to listen to Born On The Bayou on Iheart,,,,Born On The Bayou,,Iheart,,,
16,Play the best music by Arthur Johnston .,,,best,,,,,,Arthur Johnston
17,Play the song  gangsta ? by Siavash Ghomayshi,,,,gangsta,song,,,,Siavash Ghomayshi
18,Play Lukasz Gottwald  album on Zvooq,,,,,album,Zvooq,,,Lukasz Gottwald
19,Play me some music by Prince Alla from the twenties,,,,,,,twenties,,Prince Alla
20,Play the newest  2016  ep from Boaz Mauda .,,,newest,,ep,,2016,,Boaz Mauda
21,play Escapada,,Escapada,,,,,,,
22,"I'd like to hear music from 1951 , preferably a soundtrack .",,,,,soundtrack,,1951,,
23,Play 2003  Ben Burnley on Spotify,,,,,,Spotify,2003,,Ben Burnley
24,Play Marche Lorraine by Rachael Lampa,,,,Marche Lorraine,,,,,Rachael Lampa
25,Play some soul music,soul,,,,,,,,
26,Play Robin Hood Rescuing Three Squires by Bhupinder Singh,,,,Robin Hood Rescuing Three Squires,,,,,Bhupinder Singh
27,Play the top-5 songs from Paddy Reilly on zvooq,,,top-5,,,zvooq,,,Paddy Reilly
28,Open Groove Shark and play native us,native us,,,,,Groove Shark,,,
29,play chant by Prurient,,,,,chant,,,,Prurient
30,play Shake Your Head,,,,Shake Your Head,,,,,
31,Play Justin Broadrick 's music on Slacker .,,,,,,Slacker,,,Justin Broadrick
32,Play some 1954 songs on my Itunes .,,,,,,Itunes,1954,,
33,Play a 2011  ballad by Evil Jared Hasselhoff on Lastfm .,,,,,ballad,Lastfm,2011,,Evil Jared Hasselhoff
34,play laura love songs from 1959,,,,,,,1959,,laura love
35,Play Inside The Eye by twinkie clark,,,,,,,,Inside The Eye,twinkie clark
36,Play Goa music on Google Music .,Goa,,,,,Google Music,,,
37,Play The Way It Has To Be by Tom G Warrior on Zvooq,,,,,,Zvooq,,The Way It Has To Be,Tom G Warrior
