,text,object_part_of_series_type,best_rating,object_select,object_name,rating_unit,object_type,rating_value
0,rate The Lotus and the Storm  zero of 6 ,,6,,The Lotus and the Storm,,,zero
1,Rate The Fall-Down Artist  5  stars .,,,,The Fall-Down Artist,stars,,5
2,Rate the current  novel  one  points,,,current,,points,novel,one
3,rate The Ape-Man Within  4,,,,The Ape-Man Within,,,4
4,I give The Penalty  three  stars,,,,The Penalty,stars,,three
5,rate this  novel a 4 ,,,this,,,novel,4
6,"give 5 out of 6  points to Absolutely, Positively Not  series",series,6,,"Absolutely, Positively Not",points,,5
7,"I give Emile, or On Education  five  points .",,,,"Emile, or On Education",points,,five
8,rate Licence Renewed a 4,,,,Licence Renewed,,,4
9,Give this  essay a 2 out of 6 .,,6,this,,,essay,2
10,A rating of 5 of 6  points goes to Dickson McCunn trilogy,,6,,Dickson McCunn trilogy,points,,5
11,rate Beyond the Shadows  3 of 6  stars,,6,,Beyond the Shadows,stars,,3
12,Give 2 out of 6  points to the following  textbook .,,6,following,,points,textbook,2
13,the previous  textbook is a 3,,,previous,,,textbook,3
14,Rate this  album  zero of 6 ,,6,this,,,album,zero
15,rate in stars as a 6 for Lord of the Shadows which gets a four,,6,,Lord of the Shadows,stars,,four
16,"Rate Small Screen, Big Picture a 0 out of 6 .",,6,,"Small Screen, Big Picture",,,0
17,give 0  stars to this  textbook,,,this,,stars,textbook,0
18,Rate the current  novel a 0 out of 6  points,,6,current,,points,novel,0
19,give this  book a rating of 3 ,,,this,,,book,3
20,Rate the Tropic of Cancer  book a 2 out of 6,,6,,Tropic of Cancer,,book,2
21,I would give this current  textbook  five  points or a rating of 6,,6,current,,points,textbook,five
22,give The Judas Tree a zero,,,,The Judas Tree,,,zero
23,I am rating this book titled The Billion Dollar Ransom  3  stars .,,,,The Billion Dollar Ransom,stars,book,3
24,I would give Sixty Lights  chronicle a rating of five and a best rating of 6,chronicle,6,,Sixty Lights,,,five
25,rate this book titled Cold  two  stars,,,,Cold,stars,book,two
26,I want to rate this current  series a value of five and a best rating of 6,series,6,current,,,,five
27,Rate the current  book a zero of 6,,6,current,,,book,zero
28,Rate this  novel  1 of 6,,6,this,,,novel,1
29,I would rate this  chronicle  4  stars,chronicle,,this,,stars,,4
30,Give A Human Being Died That Night  3  stars ,,,,A Human Being Died That Night,stars,,3
31,I'm rating The Skystone with three  points,,,,The Skystone,points,,three
32,rate this current  saga  3 out of 6  points,saga,6,current,,points,,3
33,Rate the Wild Boy  series  3 out of 6  stars,series,6,,Wild Boy,stars,,3
34,Rate this  album a one .,,,this,,,album,one
35,Rate the Glory Season  three  stars,,,,Glory Season,stars,,three
36,Give this  textbook  5  points,,,this,,points,textbook,5
37,give two  stars to current  album,,,current,,stars,album,two
38,Rate the current  saga a five,saga,,current,,,,five
39,give 0 rating to She and Allan  book,,,,She and Allan,,book,0
40,Rate the current  series a one,series,,current,,,,one
41,I want to give this  album  3  points,,,this,,points,album,3
42,rate The Cry of the Owl a four,,,,The Cry of the Owl,,,four
43,A novel of this quality deserves your rating of four  points,,,this,your,points,novel,four
44,I gave Joseph Andrews a 0 out of 6,,6,,Joseph Andrews,,,0
45,Give zero / 6  stars to the current  album,,6,current,,stars,album,zero
46,I want to give this  album  zero out of 6  stars,,6,this,,stars,album,zero
47,Swine Not ? deserves four  points,,,,Swine Not,points,,four
48,I rate Naked in Death a 5,,,,Naked in Death,,,5
49,give the current  series  3  points,series,,current,,points,,3
50,the next  album is only one  stars,,,next,,stars,album,one
51,Rate this  book  three  points,,,this,,points,book,three
52,rate this  novel a 3 ,,,this,,,novel,3
53,Rate The Keys to the White House a zero,,,,The Keys to the White House,,,zero
54,Rate An Act of Terror  2  stars .,,,,An Act of Terror,stars,,2
55,I'm rating The Skystone with three  points,,,,The Skystone,points,,three
56,rate Call for the Saint  1 out 6  points,,6,,Call for the Saint,points,,1
57,Rate Merlin Effect a 0 ,,,,Merlin Effect,,,0
58,Give this  album  three out of 6  points,,6,this,,points,album,three
59,The Last Hawk gets a total of 3 out of 6  stars from me,,6,,The Last Hawk,stars,,3
60,0  stars for this  textbook ,,,this,,stars,textbook,0
61,Rate the current  series a one .,series,,current,,,,one
62,I rate American History: A Survey a 5 ,,,,American History: A Survey,,,5
63,Give this current  novel a 4 .,,,current,,,novel,4
64,give this current  novel a three,,,current,,,novel,three
