,text,object_location_type,timeRange,spatial_relation,movie_name,location_name,movie_type,object_type
0,What are the movie schedule at Malco Theatres,,,,,Malco Theatres,,movie schedule
1,I want to get the movie schedule,,,,,,,movie schedule
2,Show me movie time for I Am Sorry at my movie house,movie house,,,I Am Sorry,,,
3,Find time for Trouble for Two  in one minute at Landmark Theatres,,in one minute,,Trouble for Two,Landmark Theatres,,
4,Please show me the movie schedule for movies playing in the neighborhood .,,,in the neighborhood,,,movies,movie schedule
5,What are the time for movies playing at Star Theatres ?,,,,,Star Theatres,movies,
6,What time are the animated movies playing at Mann Theatres ?,,,,,Mann Theatres,animated movies,
7,I'm wondering what cinema is playing Peters baby .,cinema,,,Peters baby,,,
8,i want the movie schedules for movies  around here,,,around here,,,movies,movie schedules
9,What movies are playing at the nearest  movie house,movie house,,nearest,,,movies,
10,find Wild at Heart,,,,Wild at Heart,,,
11,She me the movie times,,,,,,,movie times
12,What movie theatre is playing Sherlock Holmes and Dr. Watson  fifteen hours and one minute from now,movie theatre,fifteen hours and one minute from now,,Sherlock Holmes and Dr. Watson,,,
13,What is the local movie times,,,,,,,movie times
14,find a movie house showing Cage Without a Key,movie house,,,Cage Without a Key,,,
15,What time is are movies at the closest  movie theatre,movie theatre,,closest,,,movies,
16,Find the nearest  movie house that's showing movies,movie house,,nearest,,,movies,
17,find some close by  movies,,,close by,,,movies,
18,where is Wild America showing at zero P.M.,,zero P.M.,,Wild America,,,
19,I'd like to see Snowball Express,,,,Snowball Express,,,
20,find movie schedules at Goodrich Quality Theaters,,,,,Goodrich Quality Theaters,,movie schedules
21,When is Beyond My Reach scheduled at the nearest  cinema ?,cinema,,nearest,Beyond My Reach,,,
22,Find the schedule for films at Cobb Theatres .,,,,,Cobb Theatres,films,schedule
23,find 16 starting time for Heavenly Body,,16,,Heavenly Body,,,
24,What animated movies are playing close by at four o'clock ?,,four o'clock,close by,,,animated movies,
25,Find the movie schedule for films  in the area .,,,in the area,,,films,movie schedule
26,What AMC Theaters is The Red Dance playing at?,,,,The Red Dance,AMC Theaters,,
27,show movie times at Megaplex Theatres,,,,,Megaplex Theatres,,movie times
28,What is the movie schedule at the Fox Theatres,,,,,Fox Theatres,,movie schedule
29,find movie times,,,,,,,movie times
30,give me the movie schedule,,,,,,,movie schedule
31,Find me Third Man on the Mountain at a cinema,cinema,,,Third Man on the Mountain,,,
32,I'd like to watch The Utopian Society,,,,The Utopian Society,,,
33,can you give me the movie times,,,,,,,movie times
34,What time is A Ball at the Anjo House playing,,,,A Ball at the Anjo House,,,
35,What is the closest  movie theatre that is playing animated movies,movie theatre,,closest,,,animated movies,
36,Check movie schedules and find which animated movies are being aired in the neighborhood movie halls.,,,in the neighborhood,,,animated movies,movie schedules
37,Find the schedule for The Voice in the Fog at night at the closest  movie house .,movie house,night,closest,The Voice in the Fog,,,schedule
38,When is Barbary Coast playing?,,,,Barbary Coast,,,
39,is Terminal Station at Cinemark Theatres,,,,Terminal Station,Cinemark Theatres,,
40,I'd like to watch Sherlock Holmes à New York at KB Theatres,,,,Sherlock Holmes à New York,KB Theatres,,
41,What time is movies playing around here,,,around here,,,movies,
42,Show me the movie schedule for Caribbean Cinemas,,,,,Caribbean Cinemas,,movie schedule
43,Show me the movie schedules for Santikos Theatres .,,,,,Santikos Theatres,,movie schedules
44,Is Live Forever: The Rise and Fall of Brit Pop playing at the closest  cinema  in 1 minute,cinema,in 1 minute,closest,Live Forever: The Rise and Fall of Brit Pop,,,
45,Check which cinema currently runs When the Last Sword is Drawn .,cinema,,,When the Last Sword is Drawn,,,
46,find a movie house with Colic: The Movie that is nearest,movie house,,nearest,Colic: The Movie,,,
47,Tell me what films are currently playing at AMC Theaters,,,,,AMC Theaters,films,
48,find movies with movie schedules  in the neighborhood,,,in the neighborhood,,,movies,movie schedules
49,what movie theatre is showing If the Huns Came to Melbourne,movie theatre,,,If the Huns Came to Melbourne,,,
50,What films and movie times are close by,,,close by,,,films,movie times
51,find National Amusements showing The Sea Is Behind,,,,The Sea Is Behind,National Amusements,,
52,show movie times,,,,,,,movie times
53,Is The Swan available to watch at the movie house  now ?,movie house,now,,The Swan,,,
54,is Traffic at the movie theatre,movie theatre,,,Traffic,,,
55,Find time for the movie schedule at Cineplex Odeon Corporation,,,,,Cineplex Odeon Corporation,,movie schedule
56,What time is Kerasotes Theatres playing animated movies,,,,,Kerasotes Theatres,animated movies,
57,find The Flying Ace,,,,The Flying Ace,,,
